	id	treatment	condition	day	bwc	burON	hr	hrv	temp	act
248	TM+B07	Transmitter	Metamizol	6	98.0487804878049	NA	NA	NA	NA	NA
249	TM+B07	Transmitter	Metamizol	7	99.0243902439024	100	445.155963302752	13.5523899082569	36.5924770642202	609.06
250	TM+B07	Transmitter	Metamizol	8	100.487804878049	NA	NA	NA	NA	NA
251	TM+B07	Transmitter	Metamizol	9	101.463414634146	NA	NA	NA	NA	NA
252	TM+B07	Transmitter	Metamizol	10	101.951219512195	NA	NA	NA	NA	NA
253	TM+B07	Transmitter	Metamizol	11	102.439024390244	NA	NA	NA	NA	NA
254	TM+B07	Transmitter	Metamizol	12	101.951219512195	NA	NA	NA	NA	NA
255	TM+B07	Transmitter	Metamizol	13	103.90243902439	NA	NA	NA	NA	NA
256	TM+B07	Transmitter	Metamizol	14	104.390243902439	NA	474.266055045872	13.5435100917431	36.3703669724771	741.009999999999
257	TM+B07	Transmitter	Metamizol	15	105.365853658537	NA	NA	NA	NA	NA
258	TM+B07	Transmitter	Metamizol	16	104.878048780488	NA	NA	NA	NA	NA
259	TM+B07	Transmitter	Metamizol	17	105.365853658537	NA	NA	NA	NA	NA
260	TM+B07	Transmitter	Metamizol	18	106.341463414634	NA	NA	NA	NA	NA
261	TM+B07	Transmitter	Metamizol	19	108.780487804878	NA	NA	NA	NA	NA
262	TM+B07	Transmitter	Metamizol	20	105.365853658537	NA	NA	NA	NA	NA
263	TM+B07	Transmitter	Metamizol	21	106.341463414634	NA	NA	NA	NA	NA
264	TM+B07	Transmitter	Metamizol	22	106.341463414634	NA	NA	NA	NA	NA
265	TM+B07	Transmitter	Metamizol	23	108.780487804878	NA	NA	NA	NA	NA
266	TM+B07	Transmitter	Metamizol	24	106.829268292683	NA	NA	NA	NA	NA
267	TM+B07	Transmitter	Metamizol	25	107.317073170732	NA	NA	NA	NA	NA
268	TM+B07	Transmitter	Metamizol	26	106.829268292683	NA	NA	NA	NA	NA
269	TM+B07	Transmitter	Metamizol	27	106.829268292683	NA	NA	NA	NA	NA
270	TM+B07	Transmitter	Metamizol	28	109.76	NA	461.009174311927	14.9378247706422	36.56	760.58
271	TM+B08	Transmitter	Metamizol	-1	100	86.9222713710903	427.559633027523	16.7875467889908	36.6575229357798	2154.48
272	TM+B08	Transmitter	Metamizol	0	86.2745098039216	23.2474964234621	597.077669902913	6.5314932038835	36.6939805825243	188.66
273	TM+B08	Transmitter	Metamizol	1	89.7058823529412	75.5555555555556	516.128440366972	8.6142880733945	37.1975229357798	252.26
274	TM+B08	Transmitter	Metamizol	2	92.6470588235294	94.8424068767908	510.165137614679	7.52109082568807	37.2922018348624	384.66
275	TM+B08	Transmitter	Metamizol	3	91.1764705882353	NA	484.220183486239	6.63507981651376	36.9166972477064	455.06
276	TM+B08	Transmitter	Metamizol	4	95.5882352941177	91.3509649749821	530.825688073395	7.54107706422019	37.2635779816514	789.259999999999
